,SITE_NAME,INVOICE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,FACT_NBR
0,(0001BB),1300082549,01/01/2018,31/01/2018,2 447,"316,46",35
1,(0001BB),1300082549,01/02/2018,28/02/2018,2 211,"286,82",35
2,(0001BB),1300082549,01/03/2018,31/03/2018,2 450,"317,32",35
3,(0001BB),1300082549,01/04/2018,30/04/2018,2 431,"315,00",35
4,(0001BB),1300082549,01/05/2018,31/05/2018,2 574,"333,37",35
5,(0001BB),1300082549,01/06/2018,30/06/2018,2 830,"365,27",35
6,(0001BB),1300082549,01/07/2018,31/07/2018,3 028,"390,39",35
7,(0001BB),1300082549,01/08/2018,31/08/2018,3 053,"393,99",35
8,(0001BB),1300082549,01/09/2018,30/09/2018,2 915,"378,35",35
9,(0001BB),1300082549,01/10/2018,31/10/2018,2 986,"387,05",35
10,(0001BB),1300082549,01/11/2018,30/11/2018,2 871,"372,47",35
11,(0001BB),1300082549,01/12/2018,31/12/2018,3 086,"399,30",35
12,(0001BB),1300082549,01/01/2019,31/01/2019,3 094,"381,40",35
13,(0001BB),1300082549,01/02/2019,28/02/2019,2 767,"345,87",35
14,(0001BB),1300082549,01/03/2019,31/03/2019,3 059,"378,18",35
15,(0001BB),1300082549,01/04/2019,30/04/2019,2 761,"340,84",35
16,(0001BB),1300082549,01/05/2019,31/05/2019,2 844,"349,26",35
17,(0001BB),1300082549,01/06/2019,30/06/2019,3 009,"369,19",35
18,(0001BB),1300082549,01/07/2019,31/07/2019,3 016,"371,20",35
19,(0001BB),1300082549,01/08/2019,31/08/2019,3 089,"380,42",35
20,(0001BB),#,01/09/2019,30/09/2019,2 914,"361,36",35
21,(0001BB),1300082549,01/10/2019,31/10/2019,2 963,"366,70",35
22,(0001BB),1300082549,01/11/2019,30/11/2019,2 797,"345,89",35
23,(0001BB),9200080633,01/12/2019,31/12/2019,2 859,"353,08",35
24,(0001BB),1300082549,01/01/2020,31/01/2020,2 863,"414,93",35
25,(0001BB),1300082549,01/02/2020,29/02/2020,2 663,"387,22",35
26,(0001BB),1300082549,01/03/2020,31/03/2020,2 759,"403,25",35
27,(0001BB),1300082549,01/04/2020,30/04/2020,2 680,"390,79",35
28,(0001BB),1300082549,01/05/2020,31/05/2020,2 797,"407,48",35
29,(0001BB),1300082549,01/06/2020,30/06/2020,2 796,"407,77",35
30,(0001BB),#,01/07/2020,31/07/2020,2 952,"429,09",35
31,(0001BB),1300082549,01/08/2020,31/08/2020,3 014,"435,98",35
32,(0001BB),1300082549,01/09/2020,30/09/2020,2 857,"411,97",35
33,(0001BB),1300082549,01/10/2020,31/10/2020,2 905,"413,41",35
34,(0001BB),1300082549,01/11/2020,30/11/2020,2 755,"383,02",35
35,(0001BR),7010671121,01/01/2018,31/01/2018,2 438,"266,43",35
36,(0001BR),7010674536,01/02/2018,28/02/2018,2 211,"242,33",35
37,(0001BR),7010677303,01/03/2018,31/03/2018,2 453,"267,95",35
38,(0001BR),7010680430,01/04/2018,30/04/2018,2 414,"263,78",35
39,(0001BR),7010682689,01/05/2018,31/05/2018,2 517,"274,62",35
40,(0001BR),7010685153,01/06/2018,30/06/2018,2 461,"268,63",35
41,(0001BR),7010687605,01/07/2018,31/07/2018,2 560,"279,26",35
